,State ID,Homeless Population (2017)
0,AK,"1,845"
1,AZ,"8,947"
2,CA,"131,532"
3,HI,"7,220"
4,ID,"2,037"
5,MT,"1,529"
6,NV,"7,833"
7,NM,"2,482"
8,OR,"13,953"
9,UT,"2,852"
10,WA,"21,112"
