,State ID,Homeless Population (2017)
0,CT,"3,388"
1,ME,"2,280"
2,MA,"17,565"
3,NH,"1,456"
4,NJ,"8,536"
5,NY,"89,503"
6,PA,"14,138"
7,RI,"1,180"
8,VT,"1,225"
