,State ID,Homeless Population (2017)
0,AL,"3,793"
1,AR,"2,467"
2,DE,994
3,DC,"7,473"
4,FL,"32,190"
5,GA,"10,174"
6,KY,"4,025"
7,LA,"3,305"
8,MD,"7,247"
9,MS,"1,472"
10,NC,"8,962"
11,OK,"4,199"
12,SC,"3,916"
13,TN,"8,309"
14,TX,"23,548"
